name,city,state,price,lat,lon
ALBANY,ALBANY,GA,3.799,31.5782062,-84.1556809
Abbeville,Abbeville,AL,3.399,31.5702088,-85.2503315
Abbeville,Abbeville,SC,3.619,34.2264946,-82.4364036
Abbotsford,Abbotsford,BC,4.521018199,44.9471087,-90.3194786
Abbotsford,Abbotsford,WI,3.45233333,44.9471087,-90.3194786
Abbott,Abbott,TX,2.95233333,31.8899302,-97.0870831
Aberdeen,Aberdeen,MD,3.83233333,39.5120347,-76.1643289
Aberdeen,Aberdeen,SD,3.110666665,45.4649805,-98.487813
Abilene,Abilene,KS,3.378166665,38.917252,-97.21377
Abilene,Abilene,TX,2.9927499962499997,32.44645,-99.7475905
Accident,Accident,MD,4.199,39.6289521,-79.3208439
Acworth,Acworth,GA,3.209,34.0659329,-84.6768796
Ada,Ada,OK,3.10733333,34.7743383,-96.6783651
Adairsville,Adairsville,GA,2.9964999949999997,34.3683267,-84.9349057
Adams,Adams,MA,3.699,42.6209431,-73.1204129
Adams,Adams,WI,3.274,43.9462246,-89.7836456
Addison,Addison,IL,3.175666666666667,41.931696,-87.9889556
Adel,Adel,GA,2.9890000000000003,31.1371358,-83.4234936
Adrian,Adrian,MI,3.599,41.8975152,-84.0373054
Adrian,Adrian,MN,3.19066666,43.634942,-95.933355
Afton,Afton,OK,3.099,36.6939077,-94.9628672
Ahoskie,Ahoskie,NC,3.56233333,36.2855245,-76.9857687
Aiken,Aiken,SC,3.150666665,33.5723191,-81.6182086
Ainsworth,Ainsworth,IA,3.109,41.2889125,-91.5523838
Airdrie,Airdrie,AB,4.530777338333333,42.0556249,-88.2202584
Akron,Akron,OH,3.6340000000000003,41.083064,-81.518485
Alabaster,Alabaster,AL,2.999,33.2442813,-86.8163773
Alamogordo,Alamogordo,NM,3.0334444400000002,32.8998822,-105.9602081
Alamosa,Alamosa,CO,3.3040000000000003,37.5780995,-105.7890452
Albany,Albany,GA,3.795666666666667,31.5782062,-84.1556809
Albany,Albany,KY,3.574,36.6917878,-85.1353856
Albany,Albany,NY,3.824,42.6511674,-73.754968
Albany,Albany,OR,3.613166665,44.6365071,-123.1059324
Albert Lea,Albert Lea,MN,3.70275,43.6480127,-93.3682656
Albion,Albion,MI,3.699,42.243097,-84.7530304
Albuquerque,Albuquerque,NM,3.3906666629999997,35.0841034,-106.650985
Alburgh,Alburgh,VT,3.539,44.9749903,-73.3012598
Alda,Alda,NE,3.169,40.8701915,-98.4674217
Alden,Alden,MN,3.299,43.6703382,-93.5761961
Aledo,Aledo,TX,2.799,32.6979939,-97.6039938
Alexander,Alexander,ND,3.52566666,47.843076,-103.642698
Alexandria,Alexandria,LA,3.21566666,31.3119463,-92.4453558
Alexandria,Alexandria,MN,3.4823333300000003,45.8835101,-95.3745015
Alexandria,Alexandria,MO,3.01566666,40.3594887,-91.455432
Alexandria,Alexandria,PA,3.539,40.5564586,-78.0977847
Algodones,Algodones,NM,3.269,35.3806512,-106.4792491
Algona,Algona,IA,3.499,43.0699663,-94.233019
Alice,Alice,TX,2.965666666666667,27.7522487,-98.0697249
Allen,Allen,OK,3.099,34.8789766,-96.4125075
Allentown,Allentown,PA,3.7367777766666666,40.6022552,-75.4716115
Alliance,Alliance,NE,3.2915,42.0971897,-102.8707145
Alma,Alma,AR,3.387888886666667,35.4778653,-94.2218752
Alma,Alma,GA,3.599,31.5393701,-82.4623557
Alma,Alma,KS,3.299,39.016666,-96.289162
Alma,Alma,MI,3.649,43.37892,-84.659727
Alma,Alma,NE,3.459,40.097511,-99.362043
Alpharetta,Alpharetta,GA,3.349,34.0755962,-84.2945964
Alpine,Alpine,WY,3.799,43.1636455,-111.0178761
Alsip,Alsip,IL,3.4436153846153847,41.6689336,-87.7387003
Altamont,Altamont,IL,3.149,39.062036,-88.7481224
Altoona,Altoona,AL,3.109,34.025609,-86.3258835
Altoona,Altoona,IA,3.2139999975,41.6437308,-93.4696031
Altoona,Altoona,PA,3.534,40.5193586,-78.3968299
Altoona,Altoona,WI,3.33233333,44.8046825,-91.4429355
Altus,Altus,OK,2.9945555533333335,34.6381255,-99.3339754
Alva,Alva,OK,3.219,36.8030501,-98.6660278
Alvada,Alvada,OH,3.259,41.0503322,-83.4018693
Alvarado,Alvarado,TX,3.00844444,32.4095565,-97.2102881
Alvord,Alvord,TX,2.92122222,33.3541879,-97.6944884
Amarillo,Amarillo,TX,3.081941174117647,35.20729,-101.8371192
Amelia Court House,Amelia Court House,VA,3.599,37.336473,-77.9890972
American Falls,American Falls,ID,3.599,42.7860227,-112.854437
American Fork,American Fork,UT,3.349,40.3768064,-111.7959146
Americus,Americus,GA,3.4989999999999997,32.0723862,-84.2326876
Amery,Amery,WI,3.56066666,45.3125385,-92.3620836
Ames,Ames,IA,3.128166665,42.0267567,-93.6170448
Amherst,Amherst,OH,3.53233333,41.3978217,-82.2223775
Amite,Amite,LA,3.299,30.7265747,-90.5089815
Anadarko,Anadarko,OK,2.999,35.0725323,-98.243981
Anahuac,Anahuac,TX,2.80733333,29.7713308,-94.6785092
Anamosa,Anamosa,IA,3.359,42.1083371,-91.2851594
Andalusia,Andalusia,AL,3.48566666,31.3080607,-86.482424
Anderson,Anderson,SC,2.979,34.5258335,-82.652962
Andover,Andover,MN,3.499,45.2332985,-93.2913405
Andrews,Andrews,TX,3.4969999979999997,32.2690953,-102.6042447
